15839|(HANK) MODENA CONCRETE PUMPING|39839|Vendor Number 39839|Contact: Henry Modena|Mr.|Henry|Modena|4870 La Honda Road|San Gregorio, CA  94074|4870 La Honda Road|San Gregorio, CA  94074|Phone: 650/726-6220|Fax: 650/726-0868|Email: modenacp@aol.com|N|Y|N|Y|N|N|N|N|N|Y|N|N|N|C|Expiration Date: 7/31/2021|Certification #CMD072115839|32 Meter, 40 Meter, and 42 Meter Boom Pumps amd 3/4 Rock Pump Trailer|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 7/31/2021|GS138||10|N||Updated 9/11/2019
17268|2040 Development & Trading Company|401407|Vendor Number 401407|Contact: Tariq Ayyad|Mr.|Tariq|Ayyad|2345 Balboa Street|San Francisco, CA  94121|2345 Balboa Street|San Francisco, CA  94121|Phone: 415-815-7992||Email: tariq@2040dtc.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 5/31/2020|Certification #CMD052017268||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 5/31/2020|PS058||10|N||Updated 9/11/2019
1000326|2040 Services|||Contact: Miguel Mendoza|Mr.|Miguel|Mendoza|2345 Balboa Street|San Francisco, CA  94121|2345 Balboa Street|San Francisco, CA  94121|Phone: 707-894-7184||Email: info@2040services.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|C|Expiration Date: 6/30/2020|Certification #CMD06201000326||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 6/30/2020, CSLB License # 1043603|CN031||10|N|1043603|Updated 9/11/2019
16939|21ST CENTURY HOME IMPROVEMENT|96192|Vendor Number 96192|Contact: Marcus Newbury|Mr.|Marcus|Newbury|937 Harrison Street|San Francisco, CA  94107|937 Harrison Street|San Francisco, CA  94107|Phone: 415-974-1234|Fax: 415-974-1061|Email: marcus@21stcenturyhomeimprovement.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 6/30/2022|Certification #CMD062216939||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 6/30/2022, CSLB License # 682929|CN036||10|N|682929|Updated 9/11/2019
16939|21ST CENTURY HOME IMPROVEMENT|96192|Vendor Number 96192|Contact: Marcus Newbury|Mr.|Marcus|Newbury|937 Harrison Street|San Francisco, CA  94107|937 Harrison Street|San Francisco, CA  94107|Phone: 415-974-1234|Fax: 415-974-1061|Email: marcus@21stcenturyhomeimprovement.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 6/30/2022|Certification #CMD062216939||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 6/30/2022, CSLB License # 682929|CN037||10|N|682929|Updated 9/11/2019
16939|21ST CENTURY HOME IMPROVEMENT|96192|Vendor Number 96192|Contact: Marcus Newbury|Mr.|Marcus|Newbury|937 Harrison Street|San Francisco, CA  94107|937 Harrison Street|San Francisco, CA  94107|Phone: 415-974-1234|Fax: 415-974-1061|Email: marcus@21stcenturyhomeimprovement.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 6/30/2022|Certification #CMD062216939||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 6/30/2022, CSLB License # 682929|CN031||10|N|682929|Updated 9/11/2019
17030|24/7 ROOTER & PLUMBING SERVICES, INC.|400035|Vendor Number 400035|Contact: Reynaldo Zambrano|Mr.|Reynaldo|Zambrano|1070 Quezada Avenue|San Francisco, CA  94124|1070 Quezada Avenue|San Francisco, CA  94124|Phone: 415-586-6851|Fax: 415-671-0819|Email: rzambr@hotmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 6/30/2021|Certification #CMD062117030||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 6/30/2021, CSLB License # 954813|CN035||10|N|954813|Updated 9/11/2019
17030|24/7 ROOTER & PLUMBING SERVICES, INC.|400035|Vendor Number 400035|Contact: Reynaldo Zambrano|Mr.|Reynaldo|Zambrano|1070 Quezada Avenue|San Francisco, CA  94124|1070 Quezada Avenue|San Francisco, CA  94124|Phone: 415-586-6851|Fax: 415-671-0819|Email: rzambr@hotmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 6/30/2021|Certification #CMD062117030||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 6/30/2021, CSLB License # 954813|CN032||10|N|954813|Updated 9/11/2019
17356|3S LLC|402194|Vendor Number 402194|Contact: Amy Lee|Ms|Amy|Lee|318 29th Ave|San Francisco, CA  94121|318 29th Ave|San Francisco, CA  94121|Phone: 415-290-3051||Email: amy@3ssanfrancisco.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 4/30/2020|Certification #CMD042017356||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2020|PS002||10|N||Updated 9/11/2019
17356|3S LLC|402194|Vendor Number 402194|Contact: Amy Lee|Ms|Amy|Lee|318 29th Ave|San Francisco, CA  94121|318 29th Ave|San Francisco, CA  94121|Phone: 415-290-3051||Email: amy@3ssanfrancisco.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 4/30/2020|Certification #CMD042017356||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2020|PS007||10|N||Updated 9/11/2019
17356|3S LLC|402194|Vendor Number 402194|Contact: Amy Lee|Ms|Amy|Lee|318 29th Ave|San Francisco, CA  94121|318 29th Ave|San Francisco, CA  94121|Phone: 415-290-3051||Email: amy@3ssanfrancisco.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 4/30/2020|Certification #CMD042017356||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2020|PS009||10|N||Updated 9/11/2019
17356|3S LLC|402194|Vendor Number 402194|Contact: Amy Lee|Ms|Amy|Lee|318 29th Ave|San Francisco, CA  94121|318 29th Ave|San Francisco, CA  94121|Phone: 415-290-3051||Email: amy@3ssanfrancisco.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 4/30/2020|Certification #CMD042017356||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2020|PS010||10|N||Updated 9/11/2019
17356|3S LLC|402194|Vendor Number 402194|Contact: Amy Lee|Ms|Amy|Lee|318 29th Ave|San Francisco, CA  94121|318 29th Ave|San Francisco, CA  94121|Phone: 415-290-3051||Email: amy@3ssanfrancisco.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 4/30/2020|Certification #CMD042017356||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2020|PS018||10|N||Updated 9/11/2019
17356|3S LLC|402194|Vendor Number 402194|Contact: Amy Lee|Ms|Amy|Lee|318 29th Ave|San Francisco, CA  94121|318 29th Ave|San Francisco, CA  94121|Phone: 415-290-3051||Email: amy@3ssanfrancisco.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 4/30/2020|Certification #CMD042017356||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2020|PS035||10|N||Updated 9/11/2019
17356|3S LLC|402194|Vendor Number 402194|Contact: Amy Lee|Ms|Amy|Lee|318 29th Ave|San Francisco, CA  94121|318 29th Ave|San Francisco, CA  94121|Phone: 415-290-3051||Email: amy@3ssanfrancisco.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 4/30/2020|Certification #CMD042017356||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2020|PS063||10|N||Updated 9/11/2019
14005|450 ARCHITECTS INC|56368|Vendor Number 56368|Contact: Richard Parker|Mr.|Richard|Parker|Pier 9, Suite 105 The Embarcadero|San Francisco, CA  94111|Pier 9, Suite 105 The Embarcadero|San Francisco, CA  94111|Phone: 415/546-0450|Fax: 415/546-0550|Email: richard@450architects.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 7/31/2022|Certification #CMD072214005|ARCHITECTURE SERVICES; PRE-DESIGN, SCHEMATIC DESIGN, DESIGN DEVLOPMENT, CONSTRUCTION DOCUMENTS AND NEGOTIATIONS|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 7/31/2022|AE001||10|N||Updated 9/11/2019
14005|450 ARCHITECTS INC|56368|Vendor Number 56368|Contact: Richard Parker|Mr.|Richard|Parker|Pier 9, Suite 105 The Embarcadero|San Francisco, CA  94111|Pier 9, Suite 105 The Embarcadero|San Francisco, CA  94111|Phone: 415/546-0450|Fax: 415/546-0550|Email: richard@450architects.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 7/31/2022|Certification #CMD072214005|ARCHITECTURE SERVICES; PRE-DESIGN, SCHEMATIC DESIGN, DESIGN DEVLOPMENT, CONSTRUCTION DOCUMENTS AND NEGOTIATIONS|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 7/31/2022|AE019||10|N||Updated 9/11/2019
14005|450 ARCHITECTS INC|56368|Vendor Number 56368|Contact: Richard Parker|Mr.|Richard|Parker|Pier 9, Suite 105 The Embarcadero|San Francisco, CA  94111|Pier 9, Suite 105 The Embarcadero|San Francisco, CA  94111|Phone: 415/546-0450|Fax: 415/546-0550|Email: richard@450architects.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 7/31/2022|Certification #CMD072214005|ARCHITECTURE SERVICES; PRE-DESIGN, SCHEMATIC DESIGN, DESIGN DEVLOPMENT, CONSTRUCTION DOCUMENTS AND NEGOTIATIONS|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 7/31/2022|GS124||10|N||Updated 9/11/2019
16512|A & S ENGINEERS INC|400124|Vendor Number 400124|Contact: Shahla Saiidnia|Ms.|Shahla|Saiidnia|111 Pine Street, Suite 1315|San Francisco, CA  94111|111 Pine Street, Suite 1315|San Francisco, CA  94111|Phone: (415) 794-5600||Email: sheilas@asincs.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|R|Expiration Date: 2/28/2021|Certification #CMD022116512||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 2/28/2021|AE012||10|N||Updated 9/11/2019
1000182|A 52 Signs & Graphics, LLC|||Contact: Abby Conklin|Ms.|Abby|Conklin|1161 Quesada Avenue|San Francisco, CA  94124|1161 Quesada Avenue|San Francisco, CA  94124|Phone: 415-235-8671||Email: abby@a52signs.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 3/31/2021|Certification #CMD03211000182||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2021|EQ060||10|N||Updated 9/11/2019
1000182|A 52 Signs & Graphics, LLC|||Contact: Abby Conklin|Ms.|Abby|Conklin|1161 Quesada Avenue|San Francisco, CA  94124|1161 Quesada Avenue|San Francisco, CA  94124|Phone: 415-235-8671||Email: abby@a52signs.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 3/31/2021|Certification #CMD03211000182||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2021|EQ124||10|N||Updated 9/11/2019
1000182|A 52 Signs & Graphics, LLC|||Contact: Abby Conklin|Ms.|Abby|Conklin|1161 Quesada Avenue|San Francisco, CA  94124|1161 Quesada Avenue|San Francisco, CA  94124|Phone: 415-235-8671||Email: abby@a52signs.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 3/31/2021|Certification #CMD03211000182||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2021|GS010||10|N||Updated 9/11/2019
1000182|A 52 Signs & Graphics, LLC|||Contact: Abby Conklin|Ms.|Abby|Conklin|1161 Quesada Avenue|San Francisco, CA  94124|1161 Quesada Avenue|San Francisco, CA  94124|Phone: 415-235-8671||Email: abby@a52signs.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|C|Expiration Date: 3/31/2021|Certification #CMD03211000182||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2021|GS018||10|N||Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|GS066||10|N|937217|Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|GS096||10|N|937217|Updated 9/11/2019
14460|A A E S INC DBA AES ENGINEERING SERVICES|63439|Vendor Number 63439|Contact: Atif A. Ammar|Mr.|Atif|Ammar|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|1 Avenue of the Palms, Suite 120|San Francisco, CA  94130|Phone: 209-601-0038|Fax: 415/435-6150|Email: atif@aaescorp.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 11/30/2019|Certification #CMD101614460|Electrical, Mechanical, Instrumentation & Controls, SCADA, Security System, Civil, Structural Engineering & Design Drafting, Project Mgt, Construction Mgt, Startup, Cost Estimating, and Project Planning|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2019, CSLB License # 937217|PS028||10|N|937217|Updated 9/11/2019
